ticker,Date,vader_score,n_headlines,finbert_score
TSLA,2022-07-08,0.102387495,8,-0.12066184
TSLA,2022-07-10,0.0,2,-0.62296134
TSLA,2022-07-11,0.13935833,12,-0.16911513
TSLA,2022-07-12,-0.05546667,12,-0.27991197
TSLA,2022-07-13,0.121866666,12,-0.14002924
TSLA,2022-07-14,0.029449997,12,-0.023105731
TSLA,2022-07-15,-0.042683333,12,0.048448358
TSLA,2022-07-16,0.0,2,-0.45669737
TSLA,2022-07-17,-0.08164,5,-0.10554395
TSLA,2022-07-18,-0.015391667,12,0.1150341
TSLA,2022-07-19,0.17189164,12,0.15973867
TSLA,2022-07-20,0.23254998,12,0.05466034
TSLA,2022-07-21,0.103975,12,0.21415132
TSLA,2022-07-22,0.019574998,12,-0.17449331
TSLA,2022-07-23,0.091066666,3,-0.099510156
TSLA,2022-07-24,0.20111999,5,0.061631896
TSLA,2022-07-25,-0.040841658,12,-0.10467581
TSLA,2022-07-26,-0.010341666,12,-0.20818341
TSLA,2022-07-27,0.057775002,8,-0.10331581
TSLA,2022-07-28,0.1661125,8,0.09403563
TSLA,2022-07-29,0.0164,12,0.14233544
TSLA,2022-07-30,0.0772,1,0.12127102
TSLA,2022-07-31,0.0,1,-0.069879085
TSLA,2022-08-01,-0.002058332,12,-0.14861396
TSLA,2022-08-02,0.072574995,12,-0.06387433
TSLA,2022-08-03,0.19966362,11,0.03641578
TSLA,2022-08-04,0.00031666955,12,-0.16832511
TSLA,2022-08-05,0.0014666667,12,-0.3051925
TSLA,2022-08-06,0.31603998,5,-0.006748119
TSLA,2022-08-07,0.11333334,3,-0.30070177
TSLA,2022-08-08,0.11483333,12,0.09950403
TSLA,2022-08-09,0.012691666,12,-0.14285815
TSLA,2022-08-10,0.093616664,12,0.17877679
TSLA,2022-08-11,0.25860834,12,-0.035319407
TSLA,2022-08-12,0.33494446,9,0.067388535
TSLA,2022-08-13,0.0,1,-0.77413243
TSLA,2022-08-14,0.6369,1,0.14511214
TSLA,2022-08-15,0.0812,12,0.08831764
TSLA,2022-08-16,0.12328333,12,-0.023297941
TSLA,2022-08-17,0.141175,12,0.14874656
TSLA,2022-08-18,0.021783331,12,-0.2117695
TSLA,2022-08-19,0.13803001,10,0.14136955
TSLA,2022-08-20,0.1468,3,0.10796153
TSLA,2022-08-21,0.26776668,3,0.042131547
TSLA,2022-08-22,-0.2464,12,-0.47759497
TSLA,2022-08-23,0.024341665,12,0.19811155
TSLA,2022-08-24,0.0481,12,0.40261647
TSLA,2022-08-25,0.038399998,12,-0.13907029
TSLA,2022-08-26,0.050575,8,0.084016904
TSLA,2022-08-27,0.21244001,5,0.14718474
TSLA,2022-08-28,0.036199998,3,-0.06547877
TSLA,2022-08-29,-0.021875,12,-0.46822253
TSLA,2022-08-30,0.059400003,12,-0.21647708
TSLA,2022-08-31,0.10553333,12,0.15013273
TSLA,2022-09-01,0.11905833,12,-0.25174287
TSLA,2022-09-02,0.2757,6,0.20918451
TSLA,2022-09-03,0.5818,2,0.101250924
TSLA,2022-09-04,0.38915,2,0.39152324
TSLA,2022-09-05,-0.11384001,5,0.31301704
TSLA,2022-09-06,0.114874996,12,-0.18507533
TSLA,2022-09-07,0.062308326,12,-0.28197226
TSLA,2022-09-08,0.13135,6,0.4427065
TSLA,2022-09-09,0.1646,12,0.3803676
TSLA,2022-09-10,0.21627143,7,0.0022528258
TSLA,2022-09-11,0.5423,1,0.012417464
TSLA,2022-09-12,0.28936666,12,0.35620686
TSLA,2022-09-13,-0.067883335,12,-0.08898386
TSLA,2022-09-14,0.12105,12,0.06090289
TSLA,2022-09-15,0.05066667,12,-0.1281716
TSLA,2022-09-16,0.037899997,9,0.058444507
TSLA,2022-09-17,0.07936667,3,0.38586414
TSLA,2022-09-18,0.0,2,0.44588548
TSLA,2022-09-19,0.03243333,12,0.032216374
TSLA,2022-09-20,0.089899994,12,-0.12517717
TSLA,2022-09-21,-0.012336365,11,-0.259627
TSLA,2022-09-22,0.049008336,12,-0.2589975
TSLA,2022-09-23,-0.11682499,12,-0.39374384
TSLA,2022-09-25,-0.0683,4,0.105621286
TSLA,2022-09-26,-0.15305,12,-0.28209433
TSLA,2022-09-27,-0.22401667,12,-0.4166381
TSLA,2022-09-28,-0.07243333,12,-0.20913087
TSLA,2022-09-29,0.038216665,12,-0.29485357
TSLA,2022-09-30,-0.071725,12,0.06618064
TSLA,2022-10-01,0.08785,6,0.0710126
TSLA,2022-10-02,0.079966664,6,-0.16640015
TSLA,2022-10-03,-0.066816665,12,-0.047242954
TSLA,2022-10-04,0.15444165,12,0.11994829
TSLA,2022-10-05,0.095458336,12,-0.52605075
TSLA,2022-10-06,-0.10030834,12,-0.36041752
TSLA,2022-10-07,-0.0033749987,12,0.054093514
TSLA,2022-10-08,-0.1806,2,-0.03449679
TSLA,2022-10-09,0.1468,3,0.33386624
TSLA,2022-10-10,-0.0015333361,9,-0.07068909
TSLA,2022-10-11,-0.12646666,12,0.08161411
TSLA,2022-10-12,0.1705,9,0.1768969
TSLA,2022-10-13,0.073425,12,0.11167621
TSLA,2022-10-14,0.043358337,12,-0.093834184
TSLA,2022-10-15,-0.056575,4,0.057400845
TSLA,2022-10-16,0.34710002,4,-0.45107675
TSLA,2022-10-17,0.13716666,12,0.2887882
TSLA,2022-10-18,0.069358334,12,0.09217247
TSLA,2022-10-19,0.19318335,12,-0.07356366
